City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,246.61,96,99,1.53,RU,1710278593
1,luderitz,-26.6481,15.1594,293.59,65,97,8.25,NA,1710278593
2,alaghsas,17.0187,8.0168,302.97,8,59,5.22,NE,1710278594
3,adamstown,-25.066,-130.1015,298.83,76,86,3.06,PN,1710278594
4,edinburgh of the seven seas,-37.0676,-12.3116,290.22,70,100,5.83,SH,1710278594
5,cabo san lucas,22.8909,-109.9124,301.82,41,20,2.57,MX,1710278594
6,blackmans bay,-43.0167,147.3167,284.55,75,21,0.98,AU,1710278594
7,port-aux-francais,-49.35,70.2167,278.46,73,23,16.94,TF,1710278594
8,georgetown,5.4112,100.3354,300.11,81,20,2.06,MY,1710278595
9,punta arenas,-53.15,-70.9167,287.21,38,40,8.75,CL,1710278595
10,yellowknife,62.456,-114.3525,261.71,96,100,8.23,CA,1710278595
11,waitangi,-43.9535,-176.5597,288.61,75,100,2.24,NZ,1710278595
12,pimentel,-6.8367,-79.9342,300.31,65,0,8.75,PE,1710278595
13,vilyuchinsk,52.9306,158.4028,263.3,85,16,4.17,RU,1710278595
14,progreso,21.2833,-89.6667,305.21,79,59,6.29,MX,1710278596
15,hasaki,35.7333,140.8333,280.37,61,100,8.09,JP,1710278596
16,puerto baquerizo moreno,-0.9,-89.6,298.7,94,100,5.14,EC,1710278596
17,mogadishu,2.0371,45.3438,300.97,79,0,5.43,SO,1710278596
18,kingston,17.997,-76.7936,303.8,65,40,9.26,JM,1710278596
19,college,64.8569,-147.8028,259.15,58,75,1.54,US,1710278597
20,muang xay,20.7,101.9833,292.92,75,46,1.04,LA,1710278597
21,mitu,1.1983,-70.1733,302.8,71,81,1.2,CO,1710278597
22,shindand,33.3029,62.1474,276.98,72,1,7.95,AF,1710278597
23,hamilton,39.1834,-84.5333,293.5,31,75,4.63,US,1710278597
24,iqaluit,63.7506,-68.5145,251.31,69,20,0.0,CA,1710278597
25,jamestown,42.097,-79.2353,290.11,51,0,5.14,US,1710278598
26,puerto ayora,-0.7393,-90.3518,303.13,89,88,1.79,EC,1710278598
27,constantia,44.1833,28.65,280.76,98,100,5.37,RO,1710278598
28,revda,56.801,59.9303,253.81,100,84,1.3,RU,1710278598
29,udachny,66.4167,112.4,238.65,100,80,1.28,RU,1710278330
30,ushuaia,-54.8,-68.3,284.96,47,0,4.12,AR,1710278510
31,kavaratti,10.5669,72.642,300.92,73,24,3.51,IN,1710278599
32,sechura,-5.5569,-80.8222,301.56,59,34,6.47,PE,1710278599
33,port mathurin,-19.6833,63.4167,299.64,83,42,9.87,MU,1710278599
34,mazamari,-11.3258,-74.5308,302.35,72,66,0.35,PE,1710278599
35,zhoukou,33.6333,114.6333,281.01,55,100,3.27,CN,1710278599
36,bethel,41.3712,-73.414,290.38,34,0,4.63,US,1710278599
37,praia da vitoria,38.7333,-27.0667,289.68,82,20,3.86,PT,1710278600
38,smithers,54.7804,-127.1743,279.33,61,40,4.63,CA,1710278600
39,san patricio,28.017,-97.5169,300.12,62,98,5.81,US,1710278600
40,port elizabeth,-33.918,25.5701,294.87,80,0,7.2,ZA,1710278375
41,olonkinbyen,70.9221,-8.7187,271.73,91,100,3.62,SJ,1710278600
42,stanley,54.868,-1.6985,283.92,89,75,3.6,GB,1710278600
43,pariang,54.868,-1.6985,283.92,89,75,3.6,GB,1710278600
44,haiku-pauwela,20.9219,-156.3051,299.28,66,20,4.02,US,1710278601
45,fale old settlement,-9.3852,-171.2468,302.85,73,48,5.5,TK,1710278601
46,holualoa,19.6228,-155.9522,298.58,75,100,3.09,US,1710278601
47,atafu village,-8.5421,-172.5159,302.8,76,35,5.01,TK,1710278601
48,coquimbo,-29.9533,-71.3436,295.0,64,0,6.69,CL,1710278601
49,pisco,-13.7,-76.2167,299.18,61,0,10.29,PE,1710278602
50,balingasag,8.7442,124.7769,298.31,80,70,1.18,PH,1710278602
51,afaahiti,-17.75,-149.2833,303.08,82,100,7.07,PF,1710278602
52,al ghayzah,16.2079,52.176,298.75,80,27,2.49,YE,1710278565
53,hawaiian paradise park,19.5933,-154.9731,297.61,87,100,2.57,US,1710278602
54,stanwood,48.2412,-122.3707,283.82,93,100,3.09,US,1710278598
55,grytviken,-54.2811,-36.5092,278.33,81,30,4.22,GS,1710278603
56,vilhena,-12.7406,-60.1458,301.27,78,40,4.63,BR,1710278603
57,richards bay,-28.783,32.0377,300.86,65,100,3.7,ZA,1710278603
58,quinhamel,11.8833,-15.85,299.98,51,50,4.95,GW,1710278603
59,papao,-17.75,-149.55,303.97,78,100,6.51,PF,1710278603
60,tucupita,9.0622,-62.051,307.97,34,31,4.31,VE,1710278603
61,iskateley,67.6803,53.1512,267.6,80,100,8.49,RU,1710278604
62,upington,-28.4478,21.2561,302.36,15,33,3.09,ZA,1710278604
63,villa alberto andres alvarado aramburo,-28.4478,21.2561,302.36,15,33,3.09,ZA,1710278604
64,cova figueira,14.8905,-24.2934,294.1,74,59,5.75,CV,1710278604
65,chaman,30.9236,66.4512,283.08,78,77,4.8,PK,1710278604
66,margaret river,-33.95,115.0667,288.25,91,6,4.73,AU,1710278604
67,buncrana,55.1333,-7.45,286.02,92,100,7.29,IE,1710278605
68,puerto natales,-51.7236,-72.4875,288.4,38,75,12.35,CL,1710278547
69,talnakh,69.4865,88.3972,252.15,97,100,7.21,RU,1710278605
70,vastervik,69.4865,88.3972,252.15,97,100,7.21,RU,1710278605
71,safi,32.1667,-8.8333,287.82,66,92,1.73,MA,1710278605
72,vadso,70.0744,29.7487,267.64,63,75,4.63,NO,1710278604
73,lebu,-37.6167,-73.65,289.3,79,36,4.49,CL,1710278605
74,portland,45.5234,-122.6762,285.17,75,75,3.6,US,1710278438
75,papatowai,-46.5619,169.4708,284.17,63,51,6.21,NZ,1710278606
76,longyearbyen,78.2186,15.6401,263.06,67,75,8.23,SJ,1710278606
77,oranjemund,-28.55,16.4333,290.04,92,77,4.44,NA,1710278606
78,port blair,11.6667,92.75,298.0,79,100,2.98,IN,1710278606
79,inirida,3.8653,-67.9239,303.93,65,98,0.92,CO,1710278607
80,saipan,15.1355,145.701,299.54,83,75,4.63,MP,1710278607
81,isle of lewis,15.1355,145.701,299.54,83,75,4.63,MP,1710278607
82,east london,-33.0153,27.9116,296.2,84,98,5.36,ZA,1710278607
83,kapa'a,22.0752,-159.319,300.14,78,75,6.17,US,1710278607
84,daru,-9.0763,143.2092,298.8,85,100,6.21,PG,1710278607
85,howrah,22.5892,88.3103,300.15,83,40,3.6,IN,1710278608
86,lindi,-10.0,39.7167,297.36,94,43,0.86,TZ,1710278608
87,west island,-12.1568,96.8225,297.14,94,100,0.0,CC,1710278608
88,oakhurst,40.2709,-74.0163,292.28,32,0,7.72,US,1710278608
89,tegueste,28.5167,-16.3167,290.97,80,40,1.03,ES,1710278608
90,amga,60.8953,131.9608,258.23,98,100,1.24,RU,1710278609
91,albany,42.6001,-73.9662,287.07,34,3,1.79,US,1710278609
92,alipur duar,42.6001,-73.9662,287.07,34,3,1.79,US,1710278609
93,kirando,-7.4167,30.6,296.41,84,52,2.63,TZ,1710278609
94,tiksi,71.6872,128.8694,252.91,99,100,2.11,RU,1710278609
95,sao felix do xingu,-6.6447,-51.995,302.42,74,51,0.91,BR,1710278610
96,wailua homesteads,22.0669,-159.378,299.39,78,75,6.17,US,1710278610
97,hermanus,-34.4187,19.2345,290.26,82,46,1.66,ZA,1710278610
98,touros,-5.1989,-35.4608,301.29,77,42,2.81,BR,1710278555
99,kattivakkam,13.2167,80.3167,300.2,76,1,4.07,IN,1710278610
100,kachia,9.8667,7.95,301.42,44,100,2.08,NG,1710278610
101,oriximina,-1.7656,-55.8661,303.28,70,96,1.75,BR,1710278611
102,al jawf,29.5,38.75,289.72,23,0,5.85,SA,1710278611
103,port alfred,-33.5906,26.891,293.81,95,99,1.34,ZA,1710278611
104,tura,25.5198,90.2201,291.81,38,1,2.17,IN,1710278611
105,anadyr,64.75,177.4833,250.43,77,20,3.0,RU,1710278611
106,lichinga,-13.3128,35.2406,293.2,88,40,2.06,MZ,1710278611
107,ancud,-41.8697,-73.8203,287.61,76,79,5.45,CL,1710278612
108,fort st. john,56.2499,-120.8529,272.09,69,75,2.57,CA,1710278612
109,nar'yan-mar,67.6713,53.087,267.65,80,100,8.49,RU,1710278612
110,hashtrud,37.4779,47.0508,276.95,51,27,0.62,IR,1710278612
111,tsiombe,-25.3,45.4833,299.75,70,100,2.75,MG,1710278612
112,tangping,22.0265,111.9323,289.9,77,81,2.22,CN,1710278613
113,mount pearl,47.5166,-52.7813,276.33,90,75,2.06,CA,1710278613
114,whitehorse,60.7161,-135.0538,273.72,51,75,7.2,CA,1710278530
115,banff,51.1762,-115.5698,279.72,42,93,4.12,CA,1710278417
116,chibougamau,49.9168,-74.3659,268.94,86,100,3.09,CA,1710278613
117,xining,36.6167,101.7667,273.15,43,6,0.21,CN,1710278614
118,tofol,5.3248,163.0078,300.64,86,100,9.5,FM,1710278614
119,tanumah,27.1,44.1333,289.64,22,17,4.61,SA,1710278614
120,walvis bay,-22.9575,14.5053,293.68,73,66,1.03,NA,1710278404
121,mount isa,-20.7333,139.5,291.02,82,0,0.0,AU,1710278614
122,russkaya polyana,49.417,31.9201,275.62,61,100,5.71,UA,1710278580
