City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gargalianoi,37.0667,21.6333,284.46,79,16,4.53,GR,1710448670
1,longyearbyen,78.2186,15.6401,248.06,64,20,3.09,SJ,1710448829
2,sandnessjoen,66.0217,12.6316,278.38,93,75,9.77,NO,1710448694
3,port-aux-francais,-49.35,70.2167,279.92,89,100,12.45,TF,1710448829
4,blackmans bay,-43.0167,147.3167,281.89,84,71,0.45,AU,1710448829
5,tiksi,71.6872,128.8694,244.55,96,48,2.65,RU,1710448829
6,shangri-la,71.6872,128.8694,244.55,96,48,2.65,RU,1710448829
7,olinda,-8.0089,-34.8553,302.0,79,75,4.63,BR,1710448830
8,papatowai,-46.5619,169.4708,281.25,84,91,5.61,NZ,1710448830
9,pathein,16.7833,94.7333,296.84,84,1,4.89,MM,1710448831
10,edinburgh of the seven seas,-37.0676,-12.3116,288.69,65,17,5.49,SH,1710448831
11,anadyr,64.75,177.4833,259.43,85,75,2.0,RU,1710448644
12,saudarkrokur,65.7461,-19.6394,266.05,82,76,1.94,IS,1710448831
13,tsiombe,-25.3,45.4833,296.93,84,100,1.38,MG,1710448832
14,yellowknife,62.456,-114.3525,270.05,86,100,2.06,CA,1710448650
15,durazno,-33.4131,-56.5006,297.64,93,100,5.44,UY,1710448832
16,thompson,55.7435,-97.8558,268.24,68,100,2.57,CA,1710448832
17,bilibino,68.0546,166.4372,257.24,90,100,1.27,RU,1710448767
18,ta`u,-14.2336,-169.5144,301.59,76,87,2.36,AS,1710448684
19,isafjordur,66.0755,-23.124,266.65,81,96,3.04,IS,1710448832
20,grytviken,-54.2811,-36.5092,277.6,93,90,2.85,GS,1710448833
21,ilulissat,69.2167,-51.1,261.16,92,100,2.06,GL,1710448833
22,vilyuchinsk,52.9306,158.4028,272.18,92,100,1.84,RU,1710448833
23,callao,-12.0667,-77.15,299.31,65,20,4.63,PE,1710448833
24,acarau,-2.8856,-40.12,300.83,82,97,4.49,BR,1710448833
25,san patricio,28.017,-97.5169,300.46,71,100,8.0,US,1710448834
26,waitangi,-43.9535,-176.5597,287.49,86,81,3.13,NZ,1710448641
27,constantia,44.1833,28.65,278.54,88,100,4.88,RO,1710448776
28,chonchi,-42.6128,-73.8092,288.22,60,78,2.91,CL,1710448835
29,holualoa,19.6228,-155.9522,299.01,73,0,3.6,US,1710448835
30,puerto natales,-51.7236,-72.4875,281.4,76,100,8.75,CL,1710448835
31,ushuaia,-54.8,-68.3,280.96,66,75,6.17,AR,1710448646
32,margaret river,-33.95,115.0667,290.53,87,0,3.71,AU,1710448836
33,olonkinbyen,70.9221,-8.7187,263.52,70,100,7.93,SJ,1710448833
34,nogliki,51.8333,143.1667,258.9,90,28,2.68,RU,1710448836
35,smithers,54.7804,-127.1743,282.33,61,100,2.06,CA,1710448836
36,piti village,13.4626,144.6933,299.64,77,20,4.12,GU,1710448837
37,adamstown,-25.066,-130.1015,299.15,77,69,4.26,PN,1710448838
